date,flow_v
2021-09-14 12:49:39,14
2021-09-14 12:49:40,14
2021-09-14 12:49:40,14
2021-09-14 12:49:40,14
2021-09-14 12:49:40,14
2021-09-14 12:49:40,14
2021-09-14 12:49:40,14
2021-09-14 12:49:40,14
2021-09-14 12:49:40,14
2021-09-14 12:49:41,14
2021-09-14 12:49:41,14
2021-09-14 12:49:41,14
2021-09-14 12:49:41,14
2021-09-14 12:49:41,14
2021-09-14 12:49:41,14
2021-09-14 12:49:41,14
2021-09-14 12:49:42,14
2021-09-14 12:49:42,14
2021-09-14 12:49:42,14
2021-09-14 12:49:42,14
2021-09-14 12:49:42,15
2021-09-14 12:49:42,15
2021-09-14 12:49:42,16
2021-09-14 12:49:43,15
2021-09-14 12:49:43,15
2021-09-14 12:49:43,15
2021-09-14 12:49:43,16
2021-09-14 12:49:43,17
2021-09-14 12:49:43,17
2021-09-14 12:49:43,17
2021-09-14 12:49:43,17
2021-09-14 12:49:44,17
2021-09-14 12:49:44,17
2021-09-14 12:49:44,17
2021-09-14 12:49:44,18
2021-09-14 12:49:44,14
2021-09-14 12:49:44,14
2021-09-14 12:49:44,14
2021-09-14 12:49:45,14
2021-09-14 12:49:45,14
2021-09-14 12:49:45,14
2021-09-14 12:49:45,14
2021-09-14 12:49:45,14
2021-09-14 12:49:45,14
2021-09-14 12:49:45,14
2021-09-14 12:49:46,14
2021-09-14 12:49:46,14
2021-09-14 12:49:46,14
2021-09-14 12:49:46,14
2021-09-14 12:49:46,11
2021-09-14 12:49:46,11
2021-09-14 12:49:46,11
2021-09-14 12:49:46,11
2021-09-14 12:49:47,11
2021-09-14 12:49:47,11
2021-09-14 12:49:47,11
2021-09-14 12:49:47,11
2021-09-14 12:49:47,11
2021-09-14 12:49:47,11
2021-09-14 12:49:47,11
2021-09-14 12:49:48,11
2021-09-14 12:49:48,11
2021-09-14 12:49:48,11
2021-09-14 12:49:48,11
2021-09-14 12:49:48,13
2021-09-14 12:49:48,13
2021-09-14 12:49:48,13
2021-09-14 12:49:49,13
2021-09-14 12:49:49,13
2021-09-14 12:49:49,13
2021-09-14 12:49:49,13
2021-09-14 12:49:49,15
2021-09-14 12:49:49,15
2021-09-14 12:49:49,15
2021-09-14 12:49:49,16
2021-09-14 12:49:50,15
2021-09-14 12:49:50,15
2021-09-14 12:49:50,15
2021-09-14 12:49:50,13
2021-09-14 12:49:50,13
2021-09-14 12:49:50,13
2021-09-14 12:49:50,13
2021-09-14 12:49:51,13
2021-09-14 12:49:51,13
2021-09-14 12:49:51,13
2021-09-14 12:49:51,13
2021-09-14 12:49:51,17
2021-09-14 12:49:51,17
2021-09-14 12:49:51,17
2021-09-14 12:49:52,17
2021-09-14 12:49:52,17
2021-09-14 12:49:52,17
2021-09-14 12:49:52,17
2021-09-14 12:49:52,16
2021-09-14 12:49:52,15
2021-09-14 12:49:52,15
2021-09-14 12:49:52,15
2021-09-14 12:49:53,16
2021-09-14 12:49:53,15
2021-09-14 12:49:53,16
2021-09-14 12:49:53,17
2021-09-14 12:49:53,17
2021-09-14 12:49:53,17
2021-09-14 12:49:53,17
2021-09-14 12:49:54,17
2021-09-14 12:49:54,17
2021-09-14 12:49:54,17
2021-09-14 12:49:54,17
2021-09-14 12:49:54,17
2021-09-14 12:49:54,17
2021-09-14 12:49:54,17
2021-09-14 12:49:55,17
2021-09-14 12:49:55,17
2021-09-14 12:49:55,17
2021-09-14 12:49:55,17
2021-09-14 12:49:55,16
2021-09-14 12:49:55,15
2021-09-14 12:49:55,15
2021-09-14 12:49:55,16
2021-09-14 12:49:56,15
2021-09-14 12:49:56,15
2021-09-14 12:49:56,15
2021-09-14 12:49:56,14
2021-09-14 12:49:56,14
2021-09-14 12:49:56,14
2021-09-14 12:49:56,14
2021-09-14 12:49:57,14
2021-09-14 12:49:57,14
2021-09-14 12:49:57,14
2021-09-14 12:49:57,18
2021-09-14 12:49:57,17
2021-09-14 12:49:57,17
2021-09-14 12:49:57,17
2021-09-14 12:49:58,17
2021-09-14 12:49:58,17
2021-09-14 12:49:58,17
2021-09-14 12:49:58,17
2021-09-14 12:49:58,16
2021-09-14 12:49:58,16
2021-09-14 12:49:58,16
2021-09-14 12:49:58,15
2021-09-14 12:49:59,16
2021-09-14 12:49:59,16
2021-09-14 12:49:59,16
2021-09-14 12:49:59,17
2021-09-14 12:49:59,17
2021-09-14 12:49:59,17
2021-09-14 12:49:59,17
2021-09-14 12:50:00,17
2021-09-14 12:50:00,17
2021-09-14 12:50:00,17
2021-09-14 12:50:00,28
2021-09-14 12:50:00,20
2021-09-14 12:50:00,20
2021-09-14 12:50:00,20
2021-09-14 12:50:01,20
2021-09-14 12:50:01,20
2021-09-14 12:50:01,20
2021-09-14 12:50:01,20
2021-09-14 12:50:01,18
2021-09-14 12:50:01,18
2021-09-14 12:50:01,18
2021-09-14 12:50:02,18
2021-09-14 12:50:02,18
2021-09-14 12:50:02,18
2021-09-14 12:50:02,18
2021-09-14 12:50:02,16
2021-09-14 12:50:02,16
2021-09-14 12:50:02,15
2021-09-14 12:50:02,15
2021-09-14 12:50:03,16
2021-09-14 12:50:03,15
2021-09-14 12:50:03,16
2021-09-14 12:50:03,14
2021-09-14 12:50:03,14
2021-09-14 12:50:03,14
2021-09-14 12:50:03,14
2021-09-14 12:50:04,14
2021-09-14 12:50:04,14
2021-09-14 12:50:04,14
2021-09-14 12:50:04,14
2021-09-14 12:50:04,14
2021-09-14 12:50:04,14
2021-09-14 12:50:04,14
2021-09-14 12:50:04,14
2021-09-14 12:50:05,14
2021-09-14 12:50:05,14
2021-09-14 12:50:05,14
2021-09-14 12:50:05,14
2021-09-14 12:50:05,14
2021-09-14 12:50:05,14
2021-09-14 12:50:05,14
2021-09-14 12:50:06,14
